Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
10-Sep-24,EQ,516.8,528,514,514.85,525.25,525.75,521.93,579.9,375.05,"51,43,636","2,68,46,13,353.85","81,752"
09-Sep-24,EQ,517.1,521.75,513.45,520.6,516.5,514.85,517.43,579.9,375.05,"59,59,770","3,08,37,40,128.25","61,816"
06-Sep-24,EQ,524.85,529.9,518.45,524.85,521.5,520.6,522.96,579.9,375.05,"72,89,977","3,81,23,59,008.05","87,136"
05-Sep-24,EQ,521.2,526,519.5,519.15,525.15,524.85,523.09,579.9,375.05,"60,34,559","3,15,66,41,272.10","69,496"
04-Sep-24,EQ,528,528.25,516.75,536.05,519.65,519.15,520.25,579.9,375.05,"1,02,01,064","5,30,71,53,537.65","1,20,722"
03-Sep-24,EQ,533,540.85,529.5,532.45,535,536.05,536.58,579.9,375.05,"75,28,343","4,03,95,58,285.90","1,07,595"
02-Sep-24,EQ,538.4,542,531.85,538.4,532.5,532.45,534.85,579.9,375.05,"78,67,991","4,20,81,86,458.05","89,740"
30-Aug-24,EQ,541.7,542,535.7,538.7,539.05,538.4,538.5,579.9,375.05,"97,17,402","5,23,27,95,744.60","95,523"
29-Aug-24,EQ,535,541.95,534.05,534.6,538.8,538.7,537.86,579.9,375.05,"1,28,42,659","6,90,75,57,608.30","1,91,366"
28-Aug-24,EQ,520,538.1,517.85,517.15,536.35,534.6,532.56,579.9,375.05,"1,71,87,783","9,15,35,17,554.10","2,02,576"
27-Aug-24,EQ,520,523.25,516,520,517.2,517.15,518.47,579.9,375.05,"39,82,898","2,06,50,04,421.70","58,350"
26-Aug-24,EQ,516,524.8,515.95,512.4,520.5,520,521.85,579.9,375.05,"86,75,690","4,52,74,22,401.05","1,08,967"
23-Aug-24,EQ,519.9,521.45,511.35,519,513,512.4,514.17,579.9,375.05,"56,38,853","2,89,93,31,237.65","71,998"
22-Aug-24,EQ,527.8,530.55,518.05,526.35,519.15,519,523.97,579.9,375.05,"57,48,253","3,01,19,12,487.00","85,781"
21-Aug-24,EQ,523.4,528.1,521.05,524.65,528,526.35,524.66,579.9,375.05,"32,27,201","1,69,31,90,755.55","62,328"
20-Aug-24,EQ,519.9,527.6,519.65,519.75,524.5,524.65,524.52,579.9,375.05,"47,71,906","2,50,29,51,305.75","72,550"
